# type	group	sentence_good	sentence_bad
# type: subtle = calque common even in edited text; overt = plain surzhyk.
# group: the normative item the pair tests.
# STATUS: CONFIRMED. Every group was checked against at least one normative source
# (Пономарів «Культура слова»; Антоненко-Давидович «Як ми говоримо»; «Антисуржик»).
# Deliberately EXCLUDED as disputed or accepted by current dictionaries:
# вірно/правильно, відмітити, приймати рішення, по понеділках, термін/строк,
# міняти/змінювати, виглядати, задавати питання, вартувати, виключно, у випадку,
# більше того, спасибі.
subtle	брати участь	Він бере участь у конкурсі.	Він приймає участь у конкурсі.
subtle	брати участь	Ми брали участь у змаганнях.	Ми приймали участь у змаганнях.
subtle	брати участь	Вона візьме участь у конференції.	Вона прийме участь у конференції.
subtle	брати участь	Усі студенти беруть участь у проєкті.	Усі студенти приймають участь у проєкті.
subtle	вживати заходів	Уряд вживає заходів для захисту.	Уряд приймає міри для захисту.
subtle	вживати заходів	Треба негайно вжити заходів.	Треба негайно прийняти міри.
subtle	вживати заходів	Керівництво вжило заходів.	Керівництво прийняло міри.
subtle	вживати заходів	Поліція вживає заходів.	Поліція приймає міри.
subtle	протягом	Протягом року він вивчав мову.	На протязі року він вивчав мову.
subtle	протягом	Магазин працює протягом дня.	Магазин працює на протязі дня.
subtle	протягом	Протягом тижня йшов дощ.	На протязі тижня йшов дощ.
subtle	протягом	Ми працювали протягом місяця.	Ми працювали на протязі місяця.
subtle	збігатися	Наші думки збігаються.	Наші думки співпадають.
subtle	збігатися	Результати збіглися з прогнозом.	Результати співпали з прогнозом.
subtle	збігатися	Дати не збігаються.	Дати не співпадають.
subtle	збігатися	Паролі не збігаються.	Паролі не співпадають.
subtle	стосуватися	Ця заувага стосується тебе.	Ця заувага відноситься до тебе.
subtle	стосуватися	Це правило стосується всіх.	Це правило відноситься до всіх.
subtle	стосуватися	Питання стосується бюджету.	Питання відноситься до бюджету.
subtle	завдяки	Завдяки тобі ми встигли.	Дякуючи тобі ми встигли.
subtle	завдяки	Завдяки дощу врожай був добрим.	Дякуючи дощу врожай був добрим.
subtle	завдяки	Ми перемогли завдяки команді.	Ми перемогли дякуючи команді.
subtle	завдяки	Завдяки друзям я не здався.	Дякуючи друзям я не здався.
subtle	доводиться	Мені доводиться працювати допізна.	Мені приходиться працювати допізна.
subtle	доводиться	Нам довелося чекати.	Нам прийшлося чекати.
subtle	доводиться	Йому часто доводиться їздити.	Йому часто приходиться їздити.
subtle	доводиться	Їй довелося піти раніше.	Їй прийшлося піти раніше.
subtle	наступний	Наступного дня ми поїхали.	Слідуючого дня ми поїхали.
subtle	наступний	Відповідь на наступній сторінці.	Відповідь на слідуючій сторінці.
subtle	наступний	Наступний потяг о восьмій.	Слідуючий потяг о восьмій.
subtle	наступний	Перейдімо до наступного питання.	Перейдімо до слідуючого питання.
subtle	будь-який	Телефонуй у будь-який час.	Телефонуй у любий час.
subtle	будь-який	Він відповість на будь-яке питання.	Він відповість на любе питання.
subtle	будь-який	Бери будь-яку книжку.	Бери любу книжку.
subtle	виняток	Усі прийшли, за винятком Івана.	Усі прийшли, за виключенням Івана.
subtle	виняток	Це правило не має винятків.	Це правило не має виключень.
subtle	виняток	Для тебе зроблять виняток.	Для тебе зроблять виключення.
subtle	щодо	Щодо цього питання я маю сумніви.	На рахунок цього питання я маю сумніви.
subtle	щодо	Що ти думаєш щодо плану?	Що ти думаєш на рахунок плану?
subtle	щодо	Щодо зарплати поговоримо завтра.	На рахунок зарплати поговоримо завтра.
subtle	вважати	Я вважаю, що він правий.	Я рахую, що він правий.
