model,uid,phenomenon,group,lp_good,lp_bad,ntok_good,ntok_bad,prob_correct,prompt_margin_ab,prompt_margin_ba,prompt_correct
meta-llama/Llama-3.2-1B,adjective_agreement_0000,adjective_agreement,"masc noun, neut adj",-43.2792854309082,-47.0639533996582,7,7,1,1.1093751192092896,-1.109375,1
meta-llama/Llama-3.2-1B,adjective_agreement_0001,adjective_agreement,"neut noun, femn adj",-44.81216049194336,-43.67732620239258,7,7,0,0.8828125,-0.8515625,1
meta-llama/Llama-3.2-1B,adjective_agreement_0002,adjective_agreement,"femn noun, masc adj",-46.70831298828125,-48.37315368652344,7,7,1,0.96875,-0.9531250596046448,1
meta-llama/Llama-3.2-1B,adjective_agreement_0003,adjective_agreement,"femn noun, neut adj",-47.26074981689453,-53.714046478271484,8,8,1,1.015625,-1.0,1
meta-llama/Llama-3.2-1B,adjective_agreement_0004,adjective_agreement,"neut noun, masc adj",-49.79143524169922,-46.10215759277344,8,8,0,0.9687499403953552,-0.9609375,1
meta-llama/Llama-3.2-1B,adjective_agreement_0005,adjective_agreement,"neut noun, femn adj",-41.43878936767578,-41.751380920410156,8,8,1,0.7578125,-0.71875,1
meta-llama/Llama-3.2-1B,adjective_agreement_0006,adjective_agreement,"femn noun, neut adj",-40.170318603515625,-42.563255310058594,7,7,1,0.8359375,-0.8671875596046448,0
meta-llama/Llama-3.2-1B,adjective_agreement_0007,adjective_agreement,"femn noun, masc adj",-44.85273361206055,-46.33631134033203,9,10,1,0.8359374403953552,-0.8203125,1
meta-llama/Llama-3.2-1B,adjective_agreement_0008,adjective_agreement,"femn noun, masc adj",-43.537384033203125,-49.16839599609375,6,6,1,0.5703125,-0.4921875,1
meta-llama/Llama-3.2-1B,adjective_agreement_0009,adjective_agreement,"neut noun, masc adj",-54.96607208251953,-49.2554817199707,8,9,0,1.0546875596046448,-1.0937500596046448,0
meta-llama/Llama-3.2-1B,adjective_agreement_0010,adjective_agreement,"masc noun, neut adj",-43.90135192871094,-50.42195129394531,8,8,1,0.8359375,-0.9140625,0
meta-llama/Llama-3.2-1B,adjective_agreement_0011,adjective_agreement,"femn noun, masc adj",-46.1446533203125,-49.447052001953125,8,8,1,1.1328125,-1.109375,1
meta-llama/Llama-3.2-1B,adjective_agreement_0012,adjective_agreement,"masc noun, neut adj",-43.17300796508789,-48.8790283203125,11,11,1,0.9375,-0.9296875,1
meta-llama/Llama-3.2-1B,adjective_agreement_0013,adjective_agreement,"masc noun, neut adj",-33.635528564453125,-37.68870544433594,7,7,1,0.7265625,-0.7421875,0
meta-llama/Llama-3.2-1B,adjective_agreement_0014,adjective_agreement,"neut noun, femn adj",-49.155208587646484,-45.03229522705078,7,7,0,1.0078125596046448,-0.953125,1
meta-llama/Llama-3.2-1B,adjective_agreement_0015,adjective_agreement,"neut noun, masc adj",-37.43083953857422,-41.89048767089844,9,9,1,1.0312501192092896,-1.0312498807907104,1
meta-llama/Llama-3.2-1B,adjective_agreement_0016,adjective_agreement,"neut noun, femn adj",-36.6284065246582,-42.04199981689453,6,6,1,0.90625,-0.9375,0
meta-llama/Llama-3.2-1B,adjective_agreement_0017,adjective_agreement,"neut noun, femn adj",-47.362220764160156,-49.43933868408203,8,8,1,0.8828125,-0.9140624403953552,0
meta-llama/Llama-3.2-1B,adjective_agreement_0018,adjective_agreement,"neut noun, femn adj",-44.55084228515625,-47.58716583251953,6,6,1,0.4453125,-0.5390625,0
meta-llama/Llama-3.2-1B,adjective_agreement_0019,adjective_agreement,"neut noun, masc adj",-42.0121955871582,-44.76725769042969,10,10,1,0.859375,-0.8828125,0
meta-llama/Llama-3.2-1B,adjective_agreement_0020,adjective_agreement,"neut noun, masc adj",-47.77085494995117,-48.496910095214844,7,7,1,0.9374999403953552,-0.9687500596046448,0
meta-llama/Llama-3.2-1B,adjective_agreement_0021,adjective_agreement,"masc noun, femn adj",-39.33434295654297,-43.47200393676758,6,6,1,0.7890625596046448,-0.765625,1
meta-llama/Llama-3.2-1B,adjective_agreement_0022,adjective_agreement,"femn noun, masc adj",-47.024234771728516,-54.4108772277832,7,7,1,0.546875,-0.53125,1
meta-llama/Llama-3.2-1B,adjective_agreement_0023,adjective_agreement,"femn noun, neut adj",-48.411800384521484,-51.661865234375,7,8,1,0.9296874403953552,-0.8828125596046448,1
meta-llama/Llama-3.2-1B,adjective_agreement_0024,adjective_agreement,"femn noun, masc adj",-47.33045196533203,-46.04884338378906,8,8,0,1.1015625596046448,-1.0546874403953552,1
meta-llama/Llama-3.2-1B,adjective_agreement_0025,adjective_agreement,"femn noun, neut adj",-40.08418273925781,-48.23696517944336,6,6,1,0.7578125,-0.7734375,0
meta-llama/Llama-3.2-1B,adjective_agreement_0026,adjective_agreement,"femn noun, neut adj",-46.39935302734375,-50.38200378417969,11,11,1,0.9296875,-0.953125,0
meta-llama/Llama-3.2-1B,adjective_agreement_0027,adjective_agreement,"femn noun, masc adj",-48.43009567260742,-50.283775329589844,8,8,1,0.90625,-0.9140624403953552,0
